word	index
overexpression	0
of	1
~~[[2	2
shp1	3
2]]~~	4
downregulates	5
the	6
jak2/stat3	7
pathway	8
to	9
modulate	10
various	11
target	12
genes	13
and	14
inhibit	15
cell	16
proliferation	17
,	18
migration	19
invasion	20
in	21
~~[[1	22
gastric	23
cancer	24
1]]~~	25
cells	26
.	27
a	28
diversity	29
mek	30
blockers	31
including	32
uo126	33
may	34
be	35
promising	36
for	37
treating	38
tnbc	39
patients	40
this	41
study	42
we	43
show	44
that	45
hoxb5	46
mrna	47
was	48
significantly	49
overexpressed	50
tissues	51
compared	52
with	53
adjacent	54
normal	55
vascular	56
endothelial	57
growth	58
factor	59
gene	60
polymorphisms	61
psoriasis	62
susceptibility	63
:	64
meta-analysis	65
neither	66
glut1	67
nor	68
glut3	69
expression	70
associated	71
suvmax	72
f-18	73
fdg	74
pet/ct	75
ptcs	76
has2	77
inversely	78
proportional	79
agl	80
bladder	81
immortalized	82
urothelium	83
multiple	84
logistic	85
analysis	86
showed	87
odds	88
ratios	89
cad	90
across	91
increasing	92
tertiles	93
mpo	94
level	95
were	96
(	97
)	98
1.115-2	99
.228	100
p	101
=	102
0.048	103
0.009	104
versus	105
1st	106
tertile	107
resp	108
however	109
little	110
information	111
exists	112
on	113
implementation	114
process	115
aims	116
within	117
ambulatory	118
surgery	119
centers	120
asc	121
higher	122
levels	123
at	124
baseline	125
related	126
development	127
dementia	128
or	129
1.36	130
ci	131
[	132
1.05-1	133
.76	134
]	135
0.022	136
subtype	137
ad	138
1.38	139
1.06-1	140
.82	141
0.019	142
during	143
follow-up	144
remaining	145
majority	146
essential	147
hypertension	148
renin	149
profiling	150
exposes	151
relative	152
participation	153
either	154
vasoconstriction	155
volume	156
factors	157
thereby	158
guiding	159
simpler	160
more	161
specific	162
predictably	163
effective	164
antirenin	165
treatments	166
these	167
results	168
suggest	169
release	170
is	171
relatively	172
unresponsive	173
different	174
sodium	175
intakes	176
following	177
chronic	178
renal	179
failure	180
cerivastatin	181
inhibited	182
two	183
atherosclerotic	184
monocyte	185
chemoattractant	186
protein-1	187
mcp-1	188
c-c	189
chemokine	190
receptor	191
type	192
2	193
ccr2	194
both	195
protein	196
while	197
other	198
statins	199
did	200
not	201
correlated	202
b-lymphocyte-specific	203
glycoprotein	204
ebv	205
complex	206
sublines	207
from	208
same	209
burkitt	210
lymphoma	211
investigate	212
possible	213
embryologic	214
relation	215
between	216
small-cell	217
carcinoma	218
lung	219
medullary	220
thyroid	221
measured	222
plasma	223
histaminase	224
an	225
enzyme	226
found	227
tissue	228
25	229
tumors	230
therefore	231
cd9	232
should	233
further	234
evaluated	235
as	236
glioblastoma	237
treatment	238
consequence	239
purpose	240
determine	241
if	242
solubilized	243
form	244
lrp	245
present	246
stimulated	247
whole	248
saliva	249
could	250
differentiate	251
16	252
healthy	253
women	254
confirmed	255
stage	256
i	257
breast	258
no	259
mif	260
observed	261
cutaneous	262
knockdown	263
ctr9	264
era	265
+	266
almost	267
completely	268
erased	269
estrogen-regulated	270
transcriptional	271
response	272
correlations	273
pp	274
insulin	275
glucagon	276
vip	277
calcitonin	278
provide	279
tentative	280
basis	281
predicting	282
production	283
one	284
peptide	285
hormones	286
by	287
immature	288
de-differentiated	289
neoplasms	290
non-neoplastic	291
pathologic	292
lesions	293
gep	294
endocrine	295
system	296
modifications	297
resulted	298
detection	299
prostate	300
expressing	301
psma	302
key	303
biomarker	304
datasets	305
conversely	306
tff3	307
downregulated	308
estrogen	309
signaling	310
estradiol	311
interventions	312
included	313
older	314
than	315
50	316
years	317
mild	318
moderate	319
alzheimer	320
's	321
disease	322
according	323
adas-cog	324
assessment	325
scale-cognitive	326
subscale	327
;	328
adas	329
>	330
12	331
clinical	332
rating	333
scale	334
sum	335
boxes	336
cdr-sob	337
cdr	338
<	339
hemodynamic	340
effects	341
prenalterol	342
new	343
beta1-adrenoreceptor	344
agonist	345
hypotension	346
induced	347
thoracic	348
epidural	349
block	350
extending	351
t1	352
t12	353
blocking	354
cardiac	355
sympathetic	356
supply	357
have	358
been	359
studied	360
eight	361
scheduled	362
abdominal	363
aortic	364
aneurysm	365
resection	366
before	367
fasting	368
t4	369
t3	370
tbg	371
cortisol	372
cbg	373
alpha	374
2-haptoglobin	375
complement	376
c	377
'	378
3	379
obese	380
elevated	381
when	382
weight	383
controls	384
whereas	385
rt3	386
t4/tbg	387
ratio	388
t3/tbg	389
tsh	390
coritsol/cbg	391
hormone	392
prolactin	393
parathyrin	394
transferrin	395
group	396
aggregated	397
human	398
igg	399
anti-ia-like	400
antibody	401
anti-beta2-microglobulin	402
mixed	403
lymphocyte	404
culture	405
mlc	406
oxysterol-binding	407
rescues	408
amyotrophic	409
lateral	410
sclerosis-linked	411
mutant	412
vapb	413
phenotype	414
sox9	415
indirectly	416
regulates	417
ceacam1	418
immune	419
resistance	420
melanoma	421
mk	422
sl	423
values	424
recorded	425
velocity	426
vcl	427
vap	428
well	429
amplitude	430
head	431
displacement	432
alh	433
beat	434
cross	435
frequency	436
bcf	437
which	438
percentages	439
motile	440
progressively	441
rapidly	442
progressive	443
spermatozoa	444
hence	445
aimed	446
prospectively	447
association	448
pcsk9	449
cardiovascular	450
risk	451
graded	452
number	453
rfs	454
coronary	455
severity	456
outcomes	457
stable	458
characteristics	459
biomarkers	460
616	461
consecutive	462
nontreated	463
activity	464
pr	465
its	466
dynamic	467
impact	468
processes	469
such	470
adhesion	471
are	472
crucial	473
bca	474
progression	475
central	476
role	477
notch	478
wnt/b-catenin	479
lcscs	480
attractive	481
therapeutic	482
strategy	483
against	484
hcc	485
clinically	486
applicable	487
diagnostic	488
cut-off	489
value	490
hs-ctnt	491
determined	492
roc	493
curve	494
accuracy	495
ctni	496
ami	497
compared.the	498
serum	499
0.014	500
ng/ml	501
99th	502
percentile	503
population	504
among	505
st-segment	506
elevation	507
myocardial	508
infarction	509
stemi	510
non-stemi	511
nstemi	512
background	513
previous	514
studies	515
investigated	516
associations	517
interleukin-10	518
il-10	519
-592	520
c/a	521
-819	522
c/t	523
-1082	524
g/a	525
artery	526
-	527
troponin	528
t	529
ctnt	530
neuromuscular	531
disorders	532
erroneously	533
lead	534
diagnosis	535
acute	536
injury	537
indicate	538
potential	539
application	540
small	541
molecular	542
imaging	543
probe	544
ovarian	545
through	546
binding	547
fshr	548
multivariable	549
regression	550
used	551
