word	index
~~[[1	0
dexamethasone	1
1]]~~	2
also	3
stimulates	4
virus	5
production	6
from	7
balb	8
cells	9
newly	10
infected	11
by	12
some	13
murine	14
~~[[2	15
leukemia	16
2]]~~	17
or	18
sarcoma	19
viruses	20
,	21
a	22
myelogenous	23
leukemic	24
cell	25
line	26
(	27
m-1	28
)	29
producing	30
type	31
c	32
k-balb	33
l	34
previously	35
induced	36
idurd	37
and	38
rescued	39
rauscher	40
.	41
normal	42
pge2	43
was	44
seen	45
in	46
patients	47
with	48
renovascular	49
hypertension	50
levels	51
were	52
uninfluenced	53
treatment	54
the	55
converting	56
enzyme	57
inhibitor	58
despite	59
normalization	60
of	61
blood	62
pressure	63
increased	64
plasma	65
renin	66
activity	67
asthmatic	68
who	69
showed	70
an	71
allergic	72
skin	73
reaction	74
to	75
antigen	76
hd	77
injected	78
intradermally	79
mixture	80
various	81
dose	82
isoproterenol	83
propranolol	84
these	85
changes	86
are	87
similar	88
reported	89
spermidine	90
concentration	91
sera	92
tumors	93
following	94
administration	95
single	96
5-fluorouracil	97
rats	98
3924a	99
hepatomas	100
hyperkinetic	101
disorders	102
dopamine	103
depleting	104
agents	105
like	106
tetrabenazine	107
reserpine	108
blocking	109
haloperidol	110
pimozide	111
has	112
not	113
been	114
tried	115
for	116
more	117
than	118
decade	119
studies	120
obese	121
streptozotocin-treated	122
rodents	123
concentrated	124
dialysate	125
urine	126
patient	127
receiving	128
triple-drug	129
only	130
inhibited	131
mlr	132
but	133
significantly	134
prolonged	135
survival	136
heterotopic	137
heart	138
allografts	139
whereas	140
same	141
after	142
niridazole	143
had	144
stopped	145
gave	146
less	147
inhibition	148
failed	149
prolong	150
allograft	151
thus	152
in-vitro	153
in-vivo	154
immunosuppressive	155
action	156
azathioprine	157
prednisolone	158
we	159
suggest	160
that	161
this	162
combination	163
might	164
be	165
useful	166
preventing	167
early	168
acute	169
kidney	170
graft	171
rejection	172
thirteen	173
extrinsic	174
asthma	175
effects	176
placebo	177
sodium	178
cromoglycate	179
ipratropium	180
bromide	181
plus	182
studied	183
random	184
double-blind	185
fashion	186
assess	187
their	188
inhibitory	189
exercise-induced	190
eia	191
kinetic	192
patterns	193
l-threonine	194
l-serine	195
dehydratases	196
hepatoma	197
distinct	198
those	199
mice	200
liver	201
tissue	202
combined	203
analysis	204
data	205
11	206
controlled	207
loxapine	208
versus	209
either	210
chlorpromazine	211
trifluoperazine	212
schizophrenia	213
5	214
chronic	215
6	216
statistically	217
significant	218
superiority	219
on	220
several	221
items	222
factors	223
standardized	224
psychiatric	225
rating	226
scales	227
paradoxical	228
effect	229
amphetamine	230
endogenous	231
model	232
syndrome	233
hybrid	234
dog	235
:	236
correlation	237
iron	238
deficiency	239
anaemia	240
produced	241
repeated	242
phlebotomies	243
three	244
healthy	245
males	246
alcohol	247
alcoholism	248
society	249
diclofenac	250
voltaren	251
naproxen	252
rheumatoid	253
arthritis	254
comparative	255
study	256
efficacy	257
toxicity	258
tolamolol	259
methyldopa	260
hypertensive	261
compared	262
dose-titrated	263
cross-over	264
long-term	265
results	266
beclomethasone	267
dipropionate	268
aerosol	269
children	270
bronchial	271
why	272
does	273
it	274
sometimes	275
fail	276
?	277
induction	278
polycystic	279
ovaries	280
mature	281
cycling	282
dehydroepiandrosterone	283
dha	284
treated	285
small	286
doses	287
penicillamine	288
both	289
conditions	290
result	291
failure	292
marrow	293
compensate	294
modest	295
degree	296
peripheral	297
haemolysis	298
ineffective	299
erythropoiesis	300
greater	301
disease	302
clonidine	303
100	304
mug/kg	305
which	306
proved	307
effective	308
at	309
presynaptic	310
receptors	311
transient	312
increase	313
perfusion	314
hindquarters	315
virtually	316
abolished	317
spontaneous	318
sympathetic	319
nervous	320
findings	321
seem	322
indicate	323
depressing	324
ethanol	325
intestinal	326
glucose	327
water	328
transport	329
can	330
ascribed	331
na	332
+	333
k	334
-	335
sensitive	336
pump	337
located	338
basolateral	339
membrane	340
determine	341
frequency	342
occurrence	343
adrenal	344
cortical	345
overactivity	346
mct	347
measured	348
cortisol	349
urinary	350
excretion	351
17-hydroxycorticosteroids	352
17-ketosteroids	353
free	354
22	355
7	356
pheochromocytomas	357
one	358
hundred	359
sixteen	360
advanced	361
metastatic	362
adenocarcinoma	363
pancreas	364
randomized	365
streptozotocin	366
cyclophosphamide	367
development	368
binding	369
structures	370
strongly	371
actinomycin	372
d.	373
ah109a	374
rat	375
ascites	376
ys	377
present	378
as	379
form	380
vivo	381
glycoprotein	382
24	383
h	384
when	385
inoculated	386
i.p.	387
proliferated	388
ascitic	389
fluid	390
untreated	391
intravenous	392
injection	393
metaraminol	394
bitartrate	395
aramine	396
infusion	397
isotonic	398
saline	399
into	400
common	401
carotid	402
artery	403
procedures	404
did	405
rhesus	406
monkey	407
lead	408
breakdown	409
blood-retinal	410
barrier	411
calcium	412
calcium-dependent	413
adenosine	414
triphosphatase	415
erythrocyte	416
membranes	417
hereditary	418
spherocytosis	419
fecal	420
flora	421
crohn	422
's	423
during	424
metronidazole	425
simple	426
test	427
dms	428
al	429
is	430
described	431
clonazepam	432
its	433
association	434
phenytoin	435
phenobarbital	436
mental	437
generalized	438
major	439
motor	440
seizures	441
control	442
period	443
45	444
mild	445
moderate	446
metoprolol	447
mg	448
twice	449
daily	450
alone	451
chlorthalidone	452
50	453
using	454
crossover	455
technique	456
ovarian	457
cancer	458
cis	459
=	460
ii	461
poor-risk	462
intensive	463
prior	464
therapy	465
individual	466
sensitivity	467
40	468
glial	469
34	470
oligodendroglial	471
1	472
medulloblastoma	473
4	474
chemotherapeutical	475
methotrexate	476
vitro	477
basis	478
values	479
thymidine	480
labelling	481
index	482
24-hour	483
incubation	484
tumor-tissue	485
fragments	486
medium	487
chemical	488
marked	489
cutaneous	490
axonal	491
dystrophy	492
observed	493
first	494
time	495
lesion	496
pityriasis	497
bronchogenic	498
carcinoma	499
b	500
non	501
involved	502
malignant	503
melanoma	504
gout	505
retinal	506
damage	507
use	508
chloroquine	509
twenty	510
myeloid	511
leukaemia	512
aml	513
chemotherapy	514
included	515
daunorubicin	516
cytosine	517
6-thioguanine	518
dat	519
beta	520
adrenergic	521
such	522
hydrallazine	523
prazosin	524
have	525
provided	526
very	527
means	528
controlling	529
severe	530
two	531
high	532
mtx	533
intracutaneous	534
bcg	535
injections	536
adjuvant	537
osteogenic	538
suffered	539
sudden	540
cardiovascular	541
collapse	542
within	543
minutes	544
acth	545
corticosterone	546
camp	547
cgmp	548
peak	549
followed	550
depression	551
experimental	552
clinical	553
bromocriptine	554
parkinsonian	555
pindolol	556
32	557
suffering	558
i	559
separate	560
experiments	561
c3h/he	562
bearing	563
transplantable	564
mammary	565
adenocarcinomas	566
c3hba	567
regimen	568
6-propylthiouracil	569
fura	570
phosphate	571
cp	572
resulted	573
complete	574
remissions	575
77	576
65	577
%	578
respectively	579
low	580
concentrations	581
naloxone	582
naltrexone	583
antagonized	584
excitability	585
opiate	586
agonists	587
procaine	588
ten	589
23	590
measureable	591
achieved	592
objective	593
response	594
consisting	595
mitomycin-c	596
smf	597
bilateral	598
microinjections	599
6-hydroxydopamine	600
6-ohda	601
anterolateral	602
posterolateral	603
pl	604
hypothalamus	605
l-dopa	606
running	607
rearing	608
oral	609
stereotypies	610
fibrinogen	611
plasminogen	612
samples	613
prostatic	614
before	615
3	616
months	617
premarin	618
provera	619
diethylstilbestrol	620
retinoic	621
acid-binding	622
protein	623
rabp	624
detected	625
nuclei	626
chick	627
embryo	628
lewis	629
lung	630
tumor	631
5-hydroxytryptophan	632
5-htp	633
reduced	634
intensity	635
audiogenic	636
pentylenetrazol	637
although	638
disulfiram	639
tetraethylthiuram	640
disulfide	641
;	642
dsf	643
used	644
almost	645
quarter	646
century	647
little	648
known	649
about	650
metabolism	651
case	652
suggests	653
value	654
initial	655
trial	656
medical	657
salicylazosulfapyridine	658
steroids	659
colectomy	660
contemplated	661
infants	662
ulcerative	663
colitis	664
prevalence	665
tsh-receptor	666
antibodies	667
thyroid	668
autoantibodies	669
48	670
hla-typed	671
graves	672
'	673
euthyroid	674
state	675
antithyroid	676
methimazole	677
pulse	678
rate	679
salivary	680
flow	681
sedation	682
recorded	683
intervals	684
guanfacine	685
agent	686
demonstrated	687
block	688
hydralazine-induced	689
increases	690
serum	691
genetically	692
[	693
hemolytic	694
anemia	695
associated	696
folic	697
acid	698
due	699
salazopyrin	700
]	701
carried	702
out	703
18	704
in-patients	705
classical	706
definite	707
effectiveness	708
night-time	709
medication	710
indomethacin	711
10	712
diazepam	713
200	714
sulindac	715
improving	716
sleep	717
reducing	718
night	719
pain	720
duration	721
morning	722
stiffness	723
course	724
chickens	725
avian	726
exogenous	727
noradrenaline	728
found	729
cause	730
dose-dependent	731
reversible	732
secretion	733
tracer	734
evoked	735
field	736
stimulation	737
six	738
weeks	739
30	740
outpatients	741
tablets	742
fenoterol	743
terbutaline	744
four	745
times	746
retrospective	747
evaluation	748
quality	749
length	750
74	751
nonrandomly	752
lomustine	753
110	754
mg/sq	755
m	756
craniotomy	757
irradiation	758
glioblastoma	759
multiforme	760
performed	761
admitted	762
depressed	763
investigation	764
respiratory	765
mepindolol	766
brain	767
tryptophan	768
post	769
mortem	770
metabolites	771
serotonin	772
kynurenine	773
pathways	774
schizophrenic	775
subjects	776
vincristine	777
arabinoside	778
prednisone	779
coap	780
childhood	781
lymphoblastic	782
all	783
artifactual	784
glutamic	785
oxaloacetic	786
transaminase	787
letter	788
extensive	789
oat	790
radiotherapy	791
nsc-26271	792
nsc-67574	793
artificial	794
carious	795
lesions	796
human	797
enamel	798
lactic	799
hl	800
buffers	801
diphosphonate	802
support	803
view	804
1alpha-oh-d3	805
may	806
valuable	807
tool	808
osteoporosis	809
resulting	810
insufficiency	811
immunologic	812
properties	813
phenylalanine	814
hydroxylase	815
adult	816
cultured	817
h4-ii-e-c3	818
suspension	819
capsules	820
5mg/kg/day	821
inadequate	822
16	823
hours	824
ingestion	825
reason	826
dosage	827
recommended	828
2	829
twice-daily	830
adequate	831
most	832
throughout	833
12	834
continued	835
10mg/kg/day	836
obtained	837
reached	838
equilibrium	839
five	840
days	841
child	842
taking	843
phenobarbitone	844
13	845
achieve	846
given	847
satisfactory	848
bottle	849
shaken	850
well	851
dispensing	852
apart	853
minor	854
variations	855
maintained	856
level	857
14	858
follow-up	859
whether	860
5mg	861
piroxicam	862
new	863
nonsteroidal	864
anti-inflammatory	865
decreased	866
inflammation	867
ability	868
perform	869
tasks	870
active	871
poorly	872
standard	873
clobazam	874
half	875
potent	876
amplitude	877
visual	878
potentials	879
rabbit	880
spinal	881
polysynaptic	882
reflexes	883
decerebrated	884
cat	885
1/7	886
--	887
1/30	888
intermittent	889
high-dose	890
trimipramine	891
surmontil	892
r	893
masked	894
duodenal	895
ulcer	896
adriamycin	897
clones	898
grow	899
presence	900
1.8	901
dmso	902
non-inducible	903
inducible	904
hemoglobin	905
synthesis	906
other	907
inducers	908
friend	909
fl	910
differentiation	911
hemin	912
hypoxanthine	913
hexamethylene	914
bisacetamide	915
tolfenamic	916
acetylsalicylic	917
gastric	918
mucosa	919
miniature	920
discharges	921
intracellularly	922
neuromuscular	923
junction	924
mepp	925
epileptic	926
developed	927
toxic	928
encephalopathy	929
altered	930
behavior	931
deteriorating	932
seizure	933
confusion	934
while	935
valproate	936
comparison	937
sulfasalazine	938
idiopathic	939
proctocolitis	940
author	941
transl	942
relationship	943
proteinuria	944
immune	945
status	946
ro	947
10-9359	948
psoriasis	949
busulfan	950
50-200	951
over	952
17	953
highly	954
specific	955
anti-human	956
t	957
